id,sensor1,sensor2
378780,-0.7576315259169115,-0.7234278125911514
214966,-1.5561569770036547,-0.739207510249895
152205,-1.0585611412645863,-0.7116864569453561
188809,-1.3464151007515874,-0.41070298549533496
190336,-1.3808853350205366,-0.9169517401491653
342941,-0.5756802788607549,-0.683181114845118
280756,-2.030589698793507,-0.7893558701014419
2992,-1.9141822950026293,-0.7391290391133497
362766,-1.6143361825100622,-0.6712056757107262
309361,-1.6880012890316693,-0.8139705407152006
26441,-1.1857101680426438,-0.370985113432808
345598,-0.3318486467510908,-0.6985458343777909
198142,-0.8818855964538727,-0.4999469569582228
98369,-2.6904157569778624,-0.8206216779390513
11527,-1.3776683555286724,-0.7030598033063956
386615,-1.0400634484505487,-0.5769939661264256
381945,-0.09455500411012147,-0.6800831537978617
30320,-1.114346333611417,-0.7919749325027586
22081,-0.7007001586854376,-0.6749425443477831
27736,-1.3591888925686142,-0.6052546651751028
359324,-1.624491702485366,-0.627280022217355
355085,-1.2261942823661574,-0.7241728869294657
82120,-2.1111379366951915,-0.7211218575597697
22369,-1.7395968332683112,-0.620007544249847
280691,-0.06145964791156552,-0.5369774697041978
22709,-1.8554049716602241,-0.6531663718143883
42443,-0.13104549484875727,-0.7415791722903302
351222,-0.9006498780017209,-0.7719616988205827
119967,-0.1827554430705516,-0.7172534996883072
349173,-0.9347417583896741,-0.6694663978136624
145282,-0.6311260517415025,-0.4960912982477588
5889,-2.3457953696501317,-0.7377642501485413
126681,-1.1698252607213022,-0.7543883056738401
20161,-1.4809556106289217,-0.726643560443613
373524,0.020980529348236836,-0.8718093525151334
201806,-1.2968913559757587,-0.677928300096918
119928,-0.8061979813231686,-0.6508640576430227
203858,-0.22489098904836144,-0.8444664496871972
40006,-2.3259123410125726,-0.7854922941610666
75600,-0.2950738661349136,-0.8461433636709037
393479,-1.8246814412179753,-0.7907855885423241
337054,-0.023432805506781524,-0.7924670116795772
67134,-1.778068336796468,-0.6017920947255241
70796,-1.2142168618730942,-0.7206008193569733
346057,-0.9935201023243228,-0.716813937019299
359938,-1.52584188189155,-0.4934900457537453
117889,-2.013953053714319,-0.6690706663745501
53079,-1.015215874922931,-0.8805924107480351
336086,-1.4228732321282904,-0.8457171078965265
43037,-0.7193214541017484,-0.6256575416297215
158570,-0.7502334108039685,-0.462977551800947
32901,-2.695210116862477,-0.8546618508240049
352881,-1.9181876781679437,-0.6156153281065401
212316,-0.8565874741355358,-0.3262226999446349
19946,-2.3384735080110413,-0.7576516228882825
368146,0.042879886196019096,-0.8565977517576429
333291,-1.5801891617953483,-0.6019441780991371
45938,-0.2601504809718999,-0.7212728706671473
319178,-1.4856190083008574,-0.769754814479187
291304,-1.6702120381008116,-0.7698042074308692
26994,-1.7250575963547468,-0.7321593689251368
278602,-1.3161746502150342,-0.8093498916112719
85206,-0.9520028340020659,-0.569379685981787
6558,-0.8988505865755596,-0.5051091235313702
80546,-0.4202750270271016,-0.7050752381382613
226039,-2.1680747607195547,-0.8408259307156022
207222,-0.34332417914436725,-0.8317136518546896
337772,0.03283556120372083,-1.0316474377898863
342563,-1.0641392104815315,-0.627962626279722
234818,-1.2380807820035644,-0.6975098339335536
28837,-0.5892204060706561,-0.5960247012151999
305052,-0.686035535551384,-0.5794051814978893
43391,-1.438299699673079,-0.6541521725564529
193975,-1.6825538313829456,-0.7381620854037525
145264,-0.9917442258830383,-0.5892067202179004
284423,-0.8996501275270233,-0.6212081746841951
236212,-1.4110157950110018,-0.7398918840397942
338049,-1.5002571952931667,-0.7858762056378789
390860,-0.7048543343186132,-0.7888961336898825
151198,-1.908163653825464,-0.6680091766275538
125057,-2.249843909569775,-0.809740319588888
368747,-0.8428977757388877,-0.7888175730537631
34499,-1.0666138799321416,-0.6195309942036165
18919,0.10213480843262757,-0.6740547830975745
202022,-0.5183455201444037,-0.9248789520557124
362581,-1.5024951416398895,-0.5292618115213347
128100,-2.969076839903463,-0.8290184868864764
79958,-1.3293075144921562,-0.6847018707830413
258555,-0.7544350703933904,-0.6106901780965115
137993,-0.035080139925211765,-0.5159890133082212
212294,-1.416523105355471,-0.6535295567522483
133596,-2.428046704664323,-0.850979905327852
166184,-0.34156915176294395,-0.7029864515525888
99796,-0.5369422958994936,-0.5217576271278969
151382,-0.015554599105488036,-0.5526166920300665
396768,-1.6003992744915354,-0.6590040161292096
321584,-0.9570831809472394,-0.8222895220448231
353392,-1.5332567352690807,-0.683934126618855
209060,-1.7006513097958675,-0.7375565964086882
275720,-0.00675684694426885,-1.0381106231086128
342526,-0.03811723749757167,-0.8118227081476665
171443,-1.648112146559382,-0.7048007524179729
359500,-0.12000592844516465,-1.004961202899755
380606,-2.047006062624032,-0.6730411337911903
360341,-0.4287679323931617,-0.8736369963388865
11921,-1.3142322227043384,-0.5480142440797318
41664,-2.6499713737918484,-0.859199334571679
260421,-0.32281378621524204,-0.5540553937306231
213302,-0.1379349425145258,-0.6952319328280696
346730,0.3654624120344554,-0.8808133610024879
230533,-1.2804067952715277,-0.7292605816917315
5202,-1.207855876737324,-0.5113912029164125
226250,-1.4860310158425611,-0.6960228414727075
390129,-1.3670083579142842,-0.7692868247069414
